mat_name mat_dim mat_nnz block_size num_blocks num_iters num_innerprods max_degree num_matvecs specint_time arnoldi_time num_conv max_res
144 144649 2148786 1 120 4 14520 50 6000 2 5 56 1.72202e-13
144 144649 2148786 1 150 5 22650 100 15000 2 10 83 2.05036e-12
144 144649 2148786 1 120 4 14520 81 9720 2 7 63 1.00005e-12
auto 448695 6629222 2 90 3 32940 50 9000 7 28 84 3.70265e-13
auto 448695 6629222 2 120 4 58320 100 24000 6 67 97 3.26896e-12
auto 448695 6629222 2 120 4 58320 100 24000 6 67 97 3.26896e-12
ca2010 710145 3489366 1 180 6 32580 50 9000 6 20 51 3.19993e-11
ca2010 710145 3489366 1 180 6 32580 100 18000 5 29 54 3.99899e-10
ca2010 710145 3489366 1 240 8 57840 178 42720 6 62 68 3.18737e-10
caidaRouterLevel 192244 1218132 1 420 14 176820 50 21000 2 21 65 2.29253e-11
caidaRouterLevel 192244 1218132 1 360 12 129960 100 36000 1 26 86 1.11533e-10
caidaRouterLevel 192244 1218132 1 240 8 57840 93 22320 2 16 64 2.56395e-10
coPapersDBLP 540486 30491458 1 180 6 32580 50 9000 5 58 66 2.34101e-11
coPapersDBLP 540486 30491458 1 180 6 32580 100 18000 6 107 56 4.3992e-10
coPapersDBLP 540486 30491458 1 180 6 32580 155 27900 6 162 61 5.75158e-10
delaunay_n20 1048576 6291372 1 240 8 57840 50 12000 12 38 52 1.00446e-12
delaunay_n20 1048576 6291372 1 1200 41 1441200 100 120000 11 469 33 9.15946e-12
delaunay_n20 1048576 6291372 1 210 7 44310 216 45360 11 83 51 1.36367e-10
fe_ocean 143437 819186 1 120 4 14520 50 6000 5 3 51 2.74234e-14
fe_ocean 143437 819186 1 90 3 8190 100 9000 5 3 55 1.49178e-13
fe_ocean 143437 819186 1 90 3 8190 80 7200 5 2 51 3.28711e-14
m14b 214765 3358036 1 120 4 14520 50 6000 4 7 69 9.58518e-14
m14b 214765 3358036 1 120 4 14520 100 12000 4 13 64 9.16522e-13
m14b 214765 3358036 1 150 5 22650 98 14700 4 16 73 1.05065e-12
mn2010 259777 1227102 1 240 8 57840 50 12000 2 10 56 5.84512e-11
mn2010 259777 1227102 1 210 7 44310 100 21000 2 13 52 8.19881e-11
mn2010 259777 1227102 1 270 9 73170 108 29160 2 18 71 4.86994e-10
rgg_n_2_20_s0 1048576 13783240 2 210 7 177660 50 21000 13 95 126 1.23205e-08
rgg_n_2_20_s0 1048576 13783240 2 120 4 58320 100 24000 13 78 58 2.59015e-08
rgg_n_2_20_s0 1048576 13783240 2 150 5 90900 153 45900 13 138 72 5.47871e-09
