mat_name mat_dim mat_nnz block_size num_blocks num_iters num_innerprods max_degree num_matvecs specint_time arnoldi_time num_conv max_res
Ge87H76 112985 7892195 3 90 3 74250 50 13500 2 16 135 5.52368e-15
Ge87H76 112985 7892195 3 60 2 33300 100 18000 2 19 103 3.7644e-14
Ge87H76 112985 7892195 3 90 3 74250 48 12960 2 15 132 4.88703e-15
Ge99H100 112985 8451395 3 90 3 74250 50 13500 2 17 119 3.77703e-15
Ge99H100 112985 8451395 3 90 3 74250 100 27000 2 30 157 1.91339e-13
Ge99H100 112985 8451395 3 90 3 74250 48 12960 1 16 110 2.81729e-15
Si41Ge41H72 185639 15011265 3 120 4 131400 50 18000 5 39 203 7.56273e-15
Si41Ge41H72 185639 15011265 3 90 3 74250 100 27000 5 51 200 4.34055e-12
Si41Ge41H72 185639 15011265 3 120 4 131400 48 17280 5 36 201 6.50625e-15
Qdot3 186543 1286019 2 300 10 361800 50 30000 3 26 108 5.46253e-16
Qdot3 186543 1286019 2 300 10 361800 100 60000 2 33 146 9.80187e-15
Qdot3 186543 1286019 2 330 11 437580 48 31680 3 29 124 5.95569e-16
Si87H76 240369 10661631 3 120 4 131400 50 18000 4 39 219 1.29865e-14
Si87H76 240369 10661631 3 90 3 74250 100 27000 4 52 186 1.18908e-12
Si87H76 240369 10661631 3 120 4 131400 48 17280 4 38 219 1.0935e-14
Ga41As41H72 268096 18488476 3 400 14 1446000 100 120000 8 351 0 0
Ga41As41H72 268096 18488476 3 400 14 1446000 200 240000 8 615 0 0
Ga41As41H72 268096 18488476 3 400 14 1446000 48 57600 7 213 0 0
Laplacian 1000000 6940000 3 90 3 74250 200 54000 22 94 139 1.39634e-14
Laplacian 1000000 6940000 3 90 3 74250 300 81000 21 131 158 4.43893e-13
Laplacian 1000000 6940000 3 150 5 204750 86 38700 21 98 178 6.17323e-15
