mat_name mat_dim mat_nnz block_size num_blocks num_iters num_innerprods max_degree num_matvecs specint_time arnoldi_time num_conv max_res
Si2 769 17801 3 100 1 91500 25 7500 0 1 35 4.72786e-13
SiH4 5041 171903 3 100 1 91500 40 12000 0 1 22 4.27412e-14
SiNa 5743 198787 3 100 1 91500 41 12300 0 1 23 2.15148e-13
Na5 5832 305630 3 100 1 91500 41 12300 0 2 27 5.93307e-14
benzene 8219 242669 3 100 1 91500 45 13500 0 1 35 1.48503e-13
Si10H16 17077 875923 3 100 1 91500 54 16200 0 4 27 8.69351e-14
Si5H12 19896 738598 3 100 1 91500 56 16800 0 3 22 8.31305e-13
SiO 33401 1317655 3 100 2 183000 76 42000 1 12 18 3.90371e-13
Ga3As3H12 61349 5970947 3 100 1 91500 75 22500 1 17 59 4.51727e-13
GaAsH6 61349 3381809 3 100 1 91500 75 22500 1 15 61 4.05727e-13
H2O 67024 2216736 3 100 1 91500 76 22800 1 9 46 1.18875e-13
Si34H36 97569 5156379 3 100 1 91500 84 25200 1 23 23 1.43576e-13
Ge99H100 112985 8451395 3 100 1 91500 87 26100 2 29 25 1.58652e-13
Ge87H76 112985 7892195 3 100 1 91500 87 26100 1 28 18 2.15988e-13
Ga10As10H30 113081 6115633 3 100 1 91500 87 26100 2 29 57 6.01588e-14
Ga19As19H42 133123 8884839 3 100 2 183000 108 59700 2 70 97 5.58371e-15
SiO2 155331 11283503 3 100 1 91500 94 28200 2 40 27 1.93905e-13
Si41Ge41H72 185639 15011265 3 100 1 91500 99 29700 3 56 37 2.39785e-13
CO 221119 7666057 3 100 3 274500 146 111600 3 145 1 7.33024e-15
Si87H76 240369 10661631 3 100 1 91500 105 31500 3 59 17 1.85282e-13
Ga41As41H72 268096 18488476 3 100 2 183000 129 71100 3 170 85 5.56872e-13
