mat_name mat_dim mat_nnz block_size num_blocks num_iters num_innerprods max_degree num_matvecs specint_time arnoldi_time num_conv max_res
Ge87H76 112985 7892195 3 300 10 814500 50 45000 4 66 210 9.1574e-13
Ge87H76 112985 7892195 3 210 7 400050 100 63000 3 72 210 2.1657e-12
Ge87H76 112985 7892195 3 240 8 522000 79 56880 3 69 210 1.27002e-12
Ge99H100 112985 8451395 3 330 11 985050 50 49500 3 78 250 2.87096e-13
Ge99H100 112985 8451395 3 240 8 522000 100 72000 3 87 250 1.52302e-13
Ge99H100 112985 8451395 3 270 9 660150 80 64800 4 84 250 1.52757e-13
Si41Ge41H72 185639 15011265 3 330 11 985050 50 49500 7 126 218 1.32115e-12
Si41Ge41H72 185639 15011265 3 210 7 400050 100 63000 6 126 218 2.55556e-13
Si41Ge41H72 185639 15011265 3 210 7 400050 98 61740 7 124 218 3.22448e-13
Si87H76 240369 10661631 3 210 7 400050 50 31500 7 76 107 3.32655e-13
Si87H76 240369 10661631 3 120 4 131400 100 36000 7 69 107 2.68981e-14
Si87H76 240369 10661631 3 90 3 74250 157 42390 8 78 107 1.13789e-14
Ga41As41H72 268096 18488476 3 300 10 814500 300 270000 13 640 201 8.41551e-15
Ga41As41H72 268096 18488476 3 240 8 522000 400 288000 13 666 201 6.92124e-15
Ga41As41H72 268096 18488476 3 210 7 400050 507 319410 12 729 201 4.47714e-15
